locking,job,threads,keys,duration,cycles
coarse,read_only,1,10000,0.00119377,3116558
coarse,read_write,1,10000,0.00411649,10748078
coarse,write_only,1,100000,0.0209234,54632648
coarse,read_only,1,100000,0.00125305,3271668
coarse,read_write,1,100000,0.0105877,27644526
coarse,write_only,1,1000000,0.0218237,56983388
coarse,read_only,1,1000000,0.00122271,3192600
coarse,read_write,1,1000000,0.0117226,30608548
coarse,write_only,2,10000,0.00899942,23498536
coarse,read_only,2,10000,0.00123237,3216044
coarse,read_write,2,10000,0.00428912,11198952
coarse,write_only,2,100000,0.0187946,49074254
coarse,read_only,2,100000,0.00117437,3066258
coarse,read_write,2,100000,0.00796609,20799916
coarse,write_only,2,1000000,0.0234008,61101296
coarse,read_only,2,1000000,0.00113953,2975370
coarse,read_write,2,1000000,0.00878821,22946742
coarse,write_only,4,10000,0.00907564,23696934
coarse,read_only,4,10000,0.0016993,4436588
coarse,read_write,4,10000,0.00421143,10996492
coarse,write_only,4,100000,0.0193169,50436840
coarse,read_only,4,100000,0.00115499,3015734
coarse,read_write,4,100000,0.00711013,18564764
coarse,write_only,4,1000000,0.024096,62916394
coarse,read_only,4,1000000,0.00118396,3091398
coarse,read_write,4,1000000,0.00942242,24602642
coarse,write_only,8,10000,0.00908332,23717374
coarse,read_only,8,10000,0.00130196,3399330
coarse,read_write,8,10000,0.00420295,10974264
coarse,write_only,8,100000,0.0181335,47347916
coarse,read_only,8,100000,0.00121682,3177238
coarse,read_write,8,100000,0.00826861,21589458
coarse,write_only,8,1000000,0.0234309,61179510
coarse,read_only,8,1000000,0.00115593,3018240
coarse,read_write,8,1000000,0.00892379,23300526
coarse,write_only,12,10000,0.00931453,24320158
coarse,read_only,12,10000,0.00128118,3345190
coarse,read_write,12,10000,0.00411344,10740628
coarse,write_only,12,100000,0.0191288,49946124
coarse,read_only,12,100000,0.00125524,3277492
coarse,read_write,12,100000,0.00735483,19203584
coarse,write_only,12,1000000,0.0243735,63641134
coarse,read_only,12,1000000,0.00119151,3111094
coarse,read_write,12,1000000,0.00922929,24098192
coarse,write_only,1,10000,0.00937905,24489370
coarse,read_only,1,10000,0.00184748,4823748
coarse,read_write,1,10000,0.00438959,11461372
coarse,write_only,1,100000,0.0188184,49136282
coarse,read_only,1,100000,0.00118457,3092934
coarse,read_write,1,100000,0.00789501,20614052
coarse,write_only,1,1000000,0.0234557,61245004
coarse,read_only,1,1000000,0.00117577,3069980
coarse,read_write,1,1000000,0.00869169,22694996
coarse,write_only,2,10000,0.00924465,24138650
coarse,read_only,2,10000,0.00124456,3248978
coarse,read_write,2,10000,0.00423374,11054388
coarse,write_only,2,100000,0.0188082,49109522
coarse,read_only,2,100000,0.00114002,2976544
coarse,read_write,2,100000,0.00771268,20138418
coarse,write_only,2,1000000,0.022234,58054964
coarse,read_only,2,1000000,0.00116007,3028984
coarse,read_write,2,1000000,0.0110678,28898664
coarse,write_only,4,10000,0.0089622,23401276
coarse,read_only,4,10000,0.00124381,3247056
coarse,read_write,4,10000,0.00400971,10469836
coarse,write_only,4,100000,0.0186471,48689124
coarse,read_only,4,100000,0.00119962,3132282
coarse,read_write,4,100000,0.00687872,17960954
coarse,write_only,4,1000000,0.023446,61219340
coarse,read_only,4,1000000,0.00114712,2995176
coarse,read_write,4,1000000,0.00894671,23360804
coarse,write_only,8,10000,0.00920899,24045560
coarse,read_only,8,10000,0.00135975,3549798
coarse,read_write,8,10000,0.00396163,10343744
coarse,write_only,8,100000,0.0174381,45530764
coarse,read_only,8,100000,0.00123448,3222858
coarse,read_write,8,100000,0.00936866,24461196
coarse,write_only,8,1000000,0.0241662,63100174
coarse,read_only,8,1000000,0.0012066,3150424
