terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth_kb,read_iops,read_runtime_ms,read_slat_min_us,read_slat_max_us,read_slat_mean_us,read_slat_dev_us,read_clat_min_us,read_clat_max_us,read_clat_mean_us,read_clat_dev_us,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_dev_us,read_bw_min_kb,read_bw_max_kb,read_bw_agg_pct,read_bw_mean_kb,read_bw_dev_kb,write_kb,write_bandwidth_kb,write_iops,write_runtime_ms,write_slat_min_us,write_slat_max_us,write_slat_mean_us,write_slat_dev_us,write_clat_min_us,write_clat_max_us,write_clat_mean_us,write_clat_dev_us,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_dev_us,write_bw_min_kb,write_bw_max_kb,write_bw_agg_pct,write_bw_mean_kb,write_bw_dev_kb,cpu_user,cpu_sys,cpu_csw,cpu_mjf,cpu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,disk_name,disk_read_iops,disk_write_iops,disk_read_merges,disk_write_merges,disk_read_ticks,write_ticks,disk_queue_time,disk_util
3,fio-3.36,seq4k,0,0,74350180,1239149,309787,60001,0,1768,1.237548,0.878638,7,2119,24.416612,32.511179,95.000000%=35,99.000000%=218,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,8,2146,25.654160,32.498395,619032,1680368,99.970978%,1238789.378151,278651.846007,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,14.153333%,50.046667%,5794704,0,19,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.01%,82.73%,13.30%,1.07%,2.76%,0.12%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,36869497,749,0,288,3159974,143,3160146,87.20%
3,fio-3.36,seq16k,1,0,158940752,2648968,165560,60001,1,752,2.265109,0.888983,9,2381,45.906213,63.731801,95.000000%=222,99.000000%=240,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,11,2391,48.171323,63.725228,1262922,3289664,100.000000%,2653102.781513,421087.037034,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,6.101667%,39.830000%,527477,0,43,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.01%,65.82%,20.10%,1.05%,12.73%,0.30%,0.01%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,36869497,749,0,288,3159974,143,3160146,87.20%
3,fio-3.36,seq32k,2,0,79225888,1320409,41262,60001,2,1803,2.918184,1.755394,12,2041,190.792427,97.204701,95.000000%=387,99.000000%=387,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,15,2044,193.710611,97.221805,1222144,1425472,100.000000%,1321242.815126,37640.043833,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,2.071667%,16.101667%,1729319,0,75,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.01%,16.07%,13.21%,60.90%,9.82%,0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,36869497,749,0,288,3159974,143,3160146,87.20%
3,fio-3.36,seq64k,3,0,115878912,1931283,30176,60001,3,240,4.517594,1.533111,18,2415,260.414765,111.932686,95.000000%=407,99.000000%=411,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,22,2442,264.932359,111.883774,1897344,1986816,100.000000%,1932035.563025,26016.074827,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,1.598333%,17.820000%,1682390,0,140,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.01%,0.05%,1.75%,48.97%,49.16%,0.06%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,36869497,749,0,288,3159974,143,3160146,87.20%
3,fio-3.36,seq128k,4,0,151950976,2532474,19784,60001,6,874,7.822808,2.048271,52,2279,396.337072,119.912790,95.000000%=528,99.000000%=528,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,60,2336,404.159879,119.882628,2491511,2590720,100.000000%,2533683.554622,23574.628290,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,0.983333%,19.021667%,1175711,0,267,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,18.72%,58.10%,23.16%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,36869497,749,0,288,3159974,143,3160146,87.20%
3,fio-3.36,seq256k,5,0,369217280,6153518,24037,60001,13,901,14.747234,2.156527,135,2189,317.902442,11.093843,95.000000%=321,99.000000%=325,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,157,2252,332.649676,11.112236,6111744,6173184,100.000000%,6157349.563025,10610.653476,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,1.146667%,40.396667%,1437377,0,521,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,99.86%,0.07%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,36869497,749,0,288,3159974,143,3160146,87.20%
