terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth_kb,read_iops,read_runtime_ms,read_slat_min_us,read_slat_max_us,read_slat_mean_us,read_slat_dev_us,read_clat_min_us,read_clat_max_us,read_clat_mean_us,read_clat_dev_us,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_dev_us,read_bw_min_kb,read_bw_max_kb,read_bw_agg_pct,read_bw_mean_kb,read_bw_dev_kb,write_kb,write_bandwidth_kb,write_iops,write_runtime_ms,write_slat_min_us,write_slat_max_us,write_slat_mean_us,write_slat_dev_us,write_clat_min_us,write_clat_max_us,write_clat_mean_us,write_clat_dev_us,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_dev_us,write_bw_min_kb,write_bw_max_kb,write_bw_agg_pct,write_bw_mean_kb,write_bw_dev_kb,cpu_user,cpu_sys,cpu_csw,cpu_mjf,cpu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,disk_name,disk_read_iops,disk_write_iops,disk_read_merges,disk_write_merges,disk_read_ticks,write_ticks,disk_queue_time,disk_util
3,fio-3.36,randread,0,0,57689048,961468,240367,60001,0,1834,1.031886,0.826995,13,4249,65.341456,23.238968,95.000000%=108,99.000000%=142,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,14,4249,66.373341,23.256365,901248,986128,100.000000%,962237.378151,22848.640337,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,12.278333%,40.160000%,6942907,0,28,0.1%,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.01%,17.53%,75.02%,7.42%,0.03%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,26127643,37457895,0,143,3482360,792110,4274490,71.41%
3,fio-3.36,randwrite,1,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,107245032,1787387,446846,60001,0,232,1.179382,1.007326,14,6788,34.434131,126.690968,95.000000%=31,99.000000%=140,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,15,6788,35.613513,126.686339,1615184,1896424,100.000000%,1788610.436975,69143.228763,19.220000%,55.575000%,132155,0,12,0.1%,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.01%,97.26%,1.18%,0.94%,0.17%,0.05%,0.05%,0.27%,0.04%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,26127643,37457895,0,143,3482360,792110,4274490,71.41%
3,fio-3.36,rand7030,2,0,29337920,488957,122239,60001,0,919,0.971769,0.774304,15,99907,120.170776,159.712132,95.000000%=296,99.000000%=493,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,20,99909,121.142545,159.726152,263784,706589,100.000000%,489565.084034,120504.332009,12565104,209414,52353,60001,0,635,1.083915,0.796486,0,99644,21.025874,149.378702,95.000000%=48,99.000000%=60,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,6,99647,22.109789,149.382679,113032,302024,100.000000%,209684.781513,51491.608121,8.756667%,25.291667%,3168173,0,16,0.1%,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.01%,0.01%,12.01%,2.40%,16.29%,42.32%,21.75%,4.58%,0.51%,0.10%,0.03%,0.01%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,26127643,37457895,0,143,3482360,792110,4274490,71.41%
3,fio-3.36,rand3070,3,0,9409908,156829,39207,60001,0,237,0.987737,0.846854,24,62326,350.822719,321.112772,95.000000%=823,99.000000%=1138,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,45,62327,351.810457,321.137105,91246,319655,100.000000%,156912.092437,66341.642087,21940004,365660,91415,60001,0,221,1.077303,0.908302,0,62284,22.765454,89.631860,95.000000%=57,99.000000%=84,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,6,62286,23.842757,89.635484,210501,743975,100.000000%,365850.983193,154810.837948,6.953333%,19.636667%,2495243,0,15,0.1%,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.01%,0.01%,24.01%,6.31%,34.26%,10.66%,8.81%,8.24%,5.42%,1.74%,0.49%,0.03%,0.04%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,26127643,37457895,0,143,3482360,792110,4274490,71.41%
3,fio-3.36,rand5050,4,0,8074396,134571,33642,60001,0,868,1.100651,1.100987,43,195366,451.307045,419.457765,95.000000%=847,99.000000%=1089,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,44,195368,452.407696,419.467050,117744,340424,100.000000%,134745.647059,36751.318229,8083388,134720,33680,60001,0,803,1.207123,1.141067,0,195075,21.453913,434.178237,95.000000%=50,99.000000%=88,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,6,195092,22.661036,434.190414,118136,340616,100.000000%,134876.865546,36589.393213,4.351667%,12.506667%,2037051,0,15,0.1%,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.01%,0.01%,21.30%,4.20%,22.05%,4.64%,8.22%,20.59%,14.17%,3.95%,0.84%,0.02%,0.02%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,26127643,37457895,0,143,3482360,792110,4274490,71.41%
