length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
725000,228270,220361,244896,595832,575252,639202
730000,233559,228155,244053,609671,595610,636992
735000,239733,227670,255860,625722,594130,667544
740000,230061,223232,238499,600470,582728,622526
745000,236940,226705,255307,618360,591668,666222
750000,237625,228523,253007,620258,596568,660496
755000,241914,234482,247929,631434,611926,647240
760000,244609,236434,270410,638451,617060,705730
765000,249404,238910,270128,651002,623678,705102
770000,253554,246746,262079,661820,644110,684102
775000,254379,246909,275742,664017,644542,719786
780000,249570,243342,260982,651434,635224,681232
785000,258702,235804,303296,675285,615542,791636
790000,255191,248246,266338,666123,647930,695280
795000,265082,256774,280354,691947,670314,731776
800000,260727,251602,276390,680572,656816,721354
805000,265142,260243,274236,692053,679356,715736
810000,264150,253551,290397,689474,661906,757932
815000,273183,267221,284088,712940,697410,741548
820000,269695,252562,308522,703872,659014,805130
825000,274460,267474,300396,716302,697728,784028
830000,267810,261460,278704,698943,682412,727378
835000,278524,271533,289347,726972,708620,755082
840000,281012,271790,309224,733377,709346,806398
845000,283057,277393,296665,738673,723818,774222
850000,301282,274751,466846,786400,717234,1218648
855000,300689,273987,367207,784797,714962,958482
860000,286964,280748,294694,748914,732890,769292
865000,291951,285407,299226,761930,744896,781090
870000,292178,287136,307695,762519,749578,803174
875000,296643,289392,305221,774102,755476,796578
880000,298084,292182,307658,777999,762772,802826
885000,302186,297977,306559,788614,777704,799948
890000,304341,297461,316546,794309,776480,826176
895000,302390,297175,313501,789145,775172,818204
900000,311353,301433,334292,812505,786764,872408
905000,318179,309994,330618,830173,808932,863080
910000,312056,304679,317569,814410,795358,828792
915000,314896,307388,327448,821810,802344,854734
920000,315094,292911,364319,822362,764624,950940
925000,322755,315980,338277,842425,824872,882634
930000,324886,311058,342600,847843,811924,894004
935000,330135,319956,347307,861535,835084,906180
940000,330377,324839,339436,862254,847844,885980
945000,332791,326584,351928,868443,852138,918684
950000,330336,309332,387890,862062,807170,1012226
955000,338724,330710,349771,884029,863200,912536
960000,326183,320160,339679,851210,835792,886536
965000,344359,325954,370948,898707,850900,967720
970000,342871,331835,365914,894764,865132,954906
975000,351717,343183,365587,917792,895942,954006
980000,339395,327962,390199,885650,856014,1018292
985000,349017,341458,359438,910811,891266,938330
990000,349802,341364,358609,912971,890768,936012
995000,360565,349987,381780,941038,913490,996502
1000000,355682,347282,369420,928311,906622,964318
1005000,360631,352212,371503,941195,919496,969862
1010000,366594,355293,392693,956803,927430,1025054
1015000,370954,360916,387420,968273,942134,1011412
1020000,359390,350837,372234,937921,915466,971532
1025000,375650,364329,386764,980385,950980,1009286
1030000,377243,364099,396654,984421,950038,1034730
1035000,379002,360273,420982,989143,940312,1098666
1040000,375835,368947,391150,980896,963128,1020922
1045000,371793,363547,385493,970230,948658,1005828
1050000,387926,376258,411475,1012483,982254,1074032
1055000,391875,381918,404741,1022551,996960,1055628
1060000,382620,375639,389249,998422,980318,1015530
1065000,374899,364771,386816,978332,952112,1009316
1070000,397115,381983,438746,1035123,997004,1144614
1075000,398949,389051,413807,1041026,1015448,1080194
1080000,394864,385092,408422,1030462,1004674,1066032
1085000,401307,390648,423641,1047233,1019670,1105762
1090000,402325,392831,416460,1049840,1025098,1087038
1095000,408079,402083,417026,1064839,1049480,1088436
1100000,410892,384016,436618,1072145,1002208,1139604
