terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth_kb,read_iops,read_runtime_ms,read_slat_min_us,read_slat_max_us,read_slat_mean_us,read_slat_dev_us,read_clat_min_us,read_clat_max_us,read_clat_mean_us,read_clat_dev_us,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_dev_us,read_bw_min_kb,read_bw_max_kb,read_bw_agg_pct,read_bw_mean_kb,read_bw_dev_kb,write_kb,write_bandwidth_kb,write_iops,write_runtime_ms,write_slat_min_us,write_slat_max_us,write_slat_mean_us,write_slat_dev_us,write_clat_min_us,write_clat_max_us,write_clat_mean_us,write_clat_dev_us,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_dev_us,write_bw_min_kb,write_bw_max_kb,write_bw_agg_pct,write_bw_mean_kb,write_bw_dev_kb,cpu_user,cpu_sys,cpu_csw,cpu_mjf,cpu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,disk_name,disk_read_iops,disk_write_iops,disk_read_merges,disk_write_merges,disk_read_ticks,write_ticks,disk_queue_time,disk_util
3,fio-3.36,rand4k,0,0,109669616,1827796,456949,60001,0,1819,1.379685,1.603954,6,2087,15.889886,9.280071,95.000000%=31,99.000000%=37,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,7,2091,17.269571,9.445141,1302184,2096128,100.000000%,1828619.571429,174463.202966,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,24.245000%,66.565000%,410152,0,18,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.10%,88.06%,11.64%,0.15%,0.04%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,70449367,1404,20,854,2776461,124,2776630,75.19%
3,fio-3.36,rand16k,1,0,321578768,5359556,334972,60001,1,981,2.270994,1.144842,10,1221,21.383392,5.842894,95.000000%=33,99.000000%=41,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,12,1226,23.654386,6.020545,3990560,5768672,100.000000%,5361867.823529,408126.847538,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,17.191667%,79.008333%,153151,0,42,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,48.30%,51.27%,0.40%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,70449367,1404,20,854,2776461,124,2776630,75.19%
3,fio-3.36,rand32k,2,0,365175520,6086157,190192,60001,2,1309,2.730558,0.982020,13,1357,39.170547,6.126210,95.000000%=41,99.000000%=58,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,15,1360,41.901105,6.213747,5304576,6167424,100.000000%,6089449.663866,128909.602740,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,9.608333%,69.583333%,7292028,0,74,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.01%,98.14%,1.76%,0.09%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,70449367,1404,20,854,2776461,124,2776630,75.19%
3,fio-3.36,rand64k,3,0,367903552,6131623,95806,60001,3,338,4.195114,0.649509,18,2053,79.130697,9.892259,95.000000%=95,99.000000%=105,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,22,2079,83.325811,9.894196,6038784,6170240,100.000000%,6134681.596639,36457.782500,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,4.218333%,50.470000%,3803740,0,138,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.01%,0.05%,98.81%,1.10%,0.04%,0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,70449367,1404,20,854,2776461,124,2776630,75.19%
3,fio-3.36,rand128k,4,0,369766656,6162674,48145,60001,6,877,7.576835,1.246417,52,2099,158.377782,7.222296,95.000000%=160,99.000000%=162,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,60,2147,165.954618,7.176863,6142464,6176833,100.000000%,6165769.907563,5309.646800,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,2.425000%,44.581667%,2874044,0,266,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,99.81%,0.06%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,70449367,1404,20,854,2776461,124,2776630,75.19%
3,fio-3.36,rand256k,5,0,369507840,6158361,24056,60001,13,695,14.793223,2.182569,104,1874,317.544578,8.478171,95.000000%=321,99.000000%=325,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,118,1965,332.337801,8.280854,6143488,6171648,100.000000%,6160904.605042,6042.638028,0,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,95.000000%=0,99.000000%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0%=0,0,0,0.000000,0.000000,0,0,0.000000%,0.000000,0.000000,1.261667%,40.595000%,1437731,0,520,0.1%,0.1%,0.1%,100.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,99.86%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,nvme0n1,70449367,1404,20,854,2776461,124,2776630,75.19%
