alignment,tail,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
aligned,notail,59,48,136,35,34,38
aligned,tail,52,49,66,36,34,38
misaligned,notail,49.3,46,60,33,30,36
misaligned,tail,49.8,47,66,34,32,36
