stride,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
1,105186,81569,142890,274465,212876,372578
2,112733,100327,119156,294175,261788,310802
5,112833,108460,118357,294457,283050,308872
16,113483,81261,138221,296175,212068,360774
50,47139.2,43340,51185,122902,113018,133530
gen,457537,439938,467352,1194532,1148554,1219944
