length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
730000,302036,280739,406211,787769,732474,1060078
735000,312955,286568,387677,816097,747260,1010962
740000,338719,291026,435064,883592,758586,1135246
745000,362430,287304,480163,945520,749352,1253074
750000,379145,296889,435531,988870,774296,1135956
755000,317270,295776,437239,827546,771764,1139804
760000,369539,305321,455927,963931,796712,1189296
765000,330026,298902,500142,860757,779626,1304688
770000,384473,317423,456981,1002884,828358,1192324
775000,334385,303658,440244,871909,791932,1147498
780000,354203,308259,524155,923372,803358,1366950
785000,405480,391256,445232,1057814,1020994,1161648
790000,344244,309666,422535,898046,807610,1102876
795000,392750,331432,443122,1024265,864270,1155644
800000,370586,324228,425993,966466,845740,1111678
805000,353734,317927,472012,922396,828860,1231696
810000,347062,325126,462216,905203,848296,1206400
815000,405316,326541,608385,1057046,851178,1587224
820000,387909,332966,505584,1011637,868436,1318640
825000,373097,329765,474700,972984,859744,1237098
830000,374719,331586,530314,977121,865084,1383452
835000,419562,348606,482283,1094169,908970,1257892
840000,364936,336861,527064,951753,879136,1373498
845000,385705,340780,572875,1005968,888744,1494620
850000,446957,380119,511369,1165678,991602,1332570
855000,413307,354452,487140,1077881,924562,1270418
860000,383491,350332,550832,1000187,913794,1436890
865000,459438,387241,549691,1198382,1010392,1433858
870000,382904,355124,504425,998453,926334,1315138
875000,398714,366548,527488,1039875,955688,1376252
880000,489547,404817,610662,1276634,1055588,1592672
885000,413908,367377,548526,1079472,957644,1431492
890000,415607,367942,545883,1084044,960134,1424438
895000,436801,369510,734323,1138890,964114,1916082
900000,447825,380654,515022,1167913,993154,1342698
905000,465305,392697,533227,1213711,1024462,1391590
910000,455187,402633,626496,1187167,1050174,1633898
915000,465823,414590,584461,1215272,1081636,1524728
920000,458388,390987,565005,1195596,1020308,1471896
925000,463502,406192,618482,1208901,1059652,1612962
930000,447431,403718,605187,1166583,1052846,1578452
935000,526574,435374,601905,1372911,1136028,1568444
940000,503012,427675,569941,1311839,1115494,1486696
945000,486159,424170,594101,1268305,1106818,1550256
950000,483530,414556,613297,1261494,1081574,1600328
955000,470495,411786,632167,1227404,1074522,1649934
960000,552468,507734,595618,1440578,1323180,1553062
965000,463796,418100,625740,1209452,1090634,1632910
970000,545296,509366,653410,1422225,1328988,1704932
975000,525137,460201,647676,1369537,1200776,1689122
980000,486805,435703,724783,1269802,1136304,1891262
985000,631356,518923,773152,1646661,1353864,2016094
990000,533872,456894,640464,1392156,1191512,1669498
995000,503975,451078,590985,1314696,1177206,1542110
1000000,535422,463258,703729,1396363,1208640,1835704
1005000,599757,556110,684547,1564331,1451402,1786122
1010000,524985,462601,655895,1369103,1206938,1709918
1015000,572741,507252,697443,1493755,1323158,1819494
1020000,625904,522882,704493,1632547,1363256,1836468
1025000,601640,494652,687930,1568635,1290544,1792902
1030000,560845,473875,699147,1462711,1236162,1824528
1035000,529542,474224,717056,1381322,1237208,1869792
1040000,585474,501439,701435,1527093,1308048,1830394
1045000,587136,507563,663583,1531739,1323878,1731182
1050000,560176,489398,715967,1461151,1276612,1868408
1055000,574555,491165,843202,1498575,1281468,2199654
1060000,617321,545455,752659,1610184,1423196,1962850
1065000,635592,562994,810640,1657530,1468836,2113976
1070000,680339,594399,808781,1774191,1550644,2108138
1075000,650727,601590,713639,1697203,1569866,1860462
1080000,660441,578503,719815,1722664,1508858,1878262
1085000,649024,519201,777247,1692801,1354506,2027218
1090000,678181,539095,858813,1768702,1406574,2239160
1095000,659353,553887,802845,1719786,1445102,2093814
1100000,677016,568095,888521,1766025,1481728,2318022
1105000,690057,578175,828829,1799464,1508532,2161762
1110000,708259,598336,852333,1847129,1559872,2222538
1115000,737396,571605,1.30012e+06,1923253,1490034,3392416
1120000,748486,625277,1.00599e+06,1952283,1630020,2622702
1125000,697808,643333,802094,1820521,1678772,2093284
1130000,689050,642491,752732,1797540,1675772,1963210
1135000,720918,645983,848160,1880094,1685516,2211876
1140000,703304,635609,808235,1834982,1658066,2109162
1145000,722230,619651,876270,1884198,1616220,2284046
1150000,691766,612221,820630,1804353,1597856,2140808
1155000,682592,596940,923213,1780770,1556772,2408760
1160000,717057,615266,982562,1870789,1605096,2563646
1165000,679824,586936,921991,1773344,1531760,2405976
1170000,758610,665216,865325,1978574,1735680,2257034
1175000,717851,613377,828229,1872034,1600016,2159218
1180000,715051,661908,831799,1864582,1727000,2169632
1185000,698239,626946,893026,1821578,1636066,2330150
1190000,736204,641173,836382,1920037,1673062,2181362
1195000,713561,633016,852450,1861335,1651288,2223784
1200000,739659,629005,859276,1928403,1641050,2239276
1205000,770380,635470,895244,2008554,1658264,2334370
1210000,801037,720193,937942,2088753,1878774,2447026
1215000,840009,763554,922869,2190594,1992336,2406790
1220000,783829,691058,971916,2043771,1801858,2534930
1225000,785893,660139,918934,2049508,1720080,2397718
1230000,777151,728461,896564,2026455,1899080,2337786
1235000,758236,703860,851255,1977235,1832854,2220860
1240000,803170,729027,919600,2094869,1901966,2397152
1245000,788344,676880,927680,2056100,1766276,2420212
1250000,809452,688523,1.00977e+06,2111189,1795866,2634444
1255000,819491,758362,951075,2137562,1978828,2481660
1260000,812357,711939,1.09579e+06,2117875,1856554,2856222
1265000,794110,709956,912955,2071498,1851922,2382214
1270000,802342,742488,885479,2093032,1936184,2310276
1275000,799112,741765,912826,2083569,1933722,2380546
1280000,846437,728416,1.18462e+06,2207318,1900366,3089182
1285000,890544,749596,993478,2322731,1954840,2590120
1290000,831965,744822,972571,2170169,1942984,2537352
1295000,829940,729046,927193,2165045,1902238,2417614
1300000,850930,784146,912843,2218921,2044610,2380494
1305000,825902,735829,1.01014e+06,2153974,1920244,2631510
1310000,893622,792455,982075,2330209,2067260,2561426
1315000,916024,845233,998917,2389323,2204912,2604984
1320000,836378,742672,948657,2181270,1937972,2475038
1325000,842038,781655,921205,2196153,2038272,2402894
1330000,880356,752536,1.13492e+06,2295749,1963288,2960646
1335000,881434,813348,993006,2299335,2120208,2590578
1340000,897606,806489,1.17023e+06,2341016,2103780,3052650
1345000,904329,836565,943076,2358305,2180810,2460744
1350000,926299,827688,1.10186e+06,2415946,2158446,2875204
