length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
730000,307325,300507,322879,802078,784402,842344
735000,298427,289267,308662,778782,754936,805346
740000,307353,292879,328091,802126,764568,855494
745000,302617,286858,326761,789700,748762,852524
750000,314134,297983,360681,819776,777636,941142
755000,304733,299823,314884,795355,782554,821456
760000,322221,310656,335120,840794,810960,874366
765000,311901,307373,318751,814010,802144,831836
770000,325912,316664,344570,850305,826550,898450
775000,320290,309349,343253,835925,807452,895820
780000,322328,314424,333827,841287,820828,871248
785000,325267,311308,366011,848858,812658,955166
790000,331070,323993,337694,863476,845322,881126
795000,340252,321784,360769,887676,839774,941114
800000,332326,325792,342357,867302,850450,893454
805000,346183,332166,363771,903210,867106,948682
810000,338660,327445,352326,883856,854720,919102
815000,357667,345596,385360,933164,901996,1004820
820000,351027,334531,382245,915984,873288,996902
825000,353532,337554,402110,922568,881156,1049080
830000,355530,345181,382729,927589,900776,998106
835000,357221,340834,392200,932137,889698,1023310
840000,365617,351771,402703,954014,918158,1050584
845000,357812,350339,373692,933884,914416,975386
850000,363089,350783,388989,947310,915702,1014140
855000,369747,359913,407193,964838,939294,1062774
860000,373444,359557,404415,974431,938576,1055256
865000,377611,357333,420348,985308,932356,1096578
870000,376349,362213,405630,982171,945428,1058448
875000,371884,364078,385254,970606,950274,1005482
880000,387328,376318,411438,1010876,982334,1073606
885000,395766,375444,432481,1032520,979958,1128174
890000,394714,379175,417249,1029914,989836,1088480
895000,379142,367963,396931,989264,960394,1035160
900000,395426,387891,415401,1031907,1012404,1083568
905000,390703,383385,401154,1019554,1000268,1046778
910000,399045,386653,414535,1041398,1009252,1081748
915000,407162,387338,453779,1062139,1010350,1183994
920000,404641,392085,429872,1055997,1023360,1121782
925000,402486,390592,414366,1049907,1019038,1079976
930000,408871,392461,424052,1066904,1024352,1105732
935000,408127,393518,421113,1064808,1026834,1098430
940000,417586,409642,434181,1089796,1069148,1132834
945000,426560,402294,454355,1112946,1049790,1184650
950000,412052,403172,422834,1075318,1052346,1102744
955000,422938,403714,478292,1103589,1053900,1247934
960000,416066,407142,432225,1085752,1062498,1128168
965000,422387,405364,453371,1102280,1057698,1183290
970000,461734,419999,573704,1204691,1096418,1495890
975000,429623,418558,449745,1121258,1092516,1173800
980000,436243,424279,452009,1138299,1107422,1178808
985000,428993,421566,438169,1119541,1100368,1143458
990000,450502,431277,496657,1175558,1125566,1296440
995000,437073,425345,451785,1140373,1109292,1178642
1000000,445671,429515,467781,1163212,1121134,1220830
1005000,457533,441484,475499,1193471,1151924,1240508
1010000,476938,448349,517571,1243980,1169936,1349986
1015000,475257,431457,541721,1239836,1126234,1413030
1020000,473612,449906,498277,1235323,1174204,1299676
1025000,477343,448528,531151,1245480,1170762,1385052
1030000,480994,466109,492564,1254972,1216388,1285040
1035000,454801,445024,466572,1186575,1161400,1216718
1040000,488315,463494,535702,1273975,1209636,1397192
1045000,460401,445499,478201,1201159,1162590,1247782
1050000,473572,457925,499041,1235878,1195232,1302252
1055000,486864,463175,511128,1270296,1209006,1333530
1060000,474180,464197,489644,1237160,1211286,1277068
1065000,468142,452343,523509,1221581,1180724,1365748
1070000,486892,479337,502126,1270575,1251102,1309882
1075000,483480,471015,508776,1261670,1229272,1327760
1080000,498431,477256,542157,1300588,1245776,1413786
1085000,488562,470856,508070,1274334,1228538,1324994
1090000,504164,491857,526566,1315319,1283558,1373884
1095000,506363,494530,527011,1321044,1290282,1374714
1100000,495458,488312,515949,1292661,1274322,1344636
1105000,493022,475663,525415,1286347,1241532,1370624
1110000,534080,520192,558111,1393328,1357602,1455242
1115000,505660,495455,521386,1319420,1293014,1360698
1120000,524307,504601,539781,1368148,1317034,1408612
1125000,526923,511332,549326,1374790,1334420,1433540
1130000,498265,486570,506795,1299979,1269862,1321628
1135000,529266,508963,563344,1380772,1327956,1469760
1140000,540216,520305,572145,1409379,1357886,1491780
1145000,517921,505808,534784,1351517,1320102,1395008
1150000,511225,497960,544738,1334159,1299230,1421538
1155000,543715,521443,569430,1418685,1360480,1486082
1160000,550783,530335,565435,1437355,1384188,1475362
1165000,530092,516192,551562,1383059,1347096,1439374
1170000,553612,526218,582613,1444586,1373478,1519318
1175000,538725,530882,549575,1405899,1385928,1433418
1180000,554941,534024,602673,1447871,1393446,1571884
1185000,545618,520264,589054,1423462,1357870,1536388
1190000,568975,548384,589501,1484273,1431240,1537470
1195000,549295,534679,571476,1433241,1395648,1491022
1200000,572323,556965,594766,1493080,1453548,1551902
1205000,576051,548578,639038,1502985,1431620,1666654
1210000,568007,548973,590688,1482246,1432968,1540776
1215000,551050,535724,584516,1437680,1397896,1524948
1220000,587975,561110,643354,1533817,1464250,1678464
1225000,607478,566638,702447,1584963,1478902,1832712
1230000,571173,557012,594558,1490593,1454046,1550884
1235000,555300,539183,588421,1448888,1407388,1535098
1240000,593581,567848,642979,1548297,1482126,1677568
1245000,594133,575981,634699,1550185,1503030,1654708
1250000,588343,573346,614401,1535201,1496388,1603328
1255000,580340,560992,614559,1514662,1464244,1604046
1260000,608049,580369,648741,1586343,1514676,1693050
1265000,609649,592883,631636,1590737,1546944,1648004
1270000,591983,585912,607449,1544953,1529146,1585420
1275000,587771,577620,611606,1533899,1507528,1596010
1280000,597819,578048,651074,1559698,1508606,1699050
1285000,623583,599320,650016,1626859,1564154,1695906
1290000,612877,600324,633174,1599309,1566686,1652600
1295000,607198,587733,638423,1584507,1534278,1666598
1300000,610288,593495,641204,1592325,1548930,1673448
1305000,633845,612491,678195,1653643,1598376,1769084
